# Time	forces(pressure, viscous) moment(pressure, viscous)
80	(((2.18229e-07 2.52682e-09 4.66429e-16) (1.78895e-07 -6.3446e-10 4.35727e-12)) ((-4.68589e-14 -2.74338e-12 1.5573e-16) (-3.79122e-13 1.65737e-12 -1.37666e-10)))
81	(((2.17866e-07 2.48662e-09 4.77009e-16) (1.76536e-07 -6.29965e-10 4.90908e-12)) ((-4.05161e-14 -2.69776e-12 1.52102e-16) (-3.64227e-13 1.61021e-12 -1.34714e-10)))
82	(((2.17486e-07 2.43635e-09 4.66243e-16) (1.74266e-07 -6.24262e-10 4.87895e-12)) ((6.74708e-14 -2.68398e-12 1.49845e-16) (-3.65954e-13 1.57105e-12 -1.31874e-10)))
83	(((2.17053e-07 2.42929e-09 4.67772e-16) (1.72083e-07 -6.17915e-10 5.12112e-12)) ((1.62217e-13 -2.66594e-12 1.46849e-16) (-3.57145e-13 1.54271e-12 -1.29133e-10)))
84	(((2.16664e-07 2.38181e-09 4.59929e-16) (1.69981e-07 -6.10665e-10 6.16602e-12)) ((2.3034e-13 -2.61649e-12 1.45173e-16) (-3.4591e-13 1.51789e-12 -1.26513e-10)))
85	(((2.16257e-07 2.39645e-09 4.48525e-16) (1.67959e-07 -6.02729e-10 6.04807e-12)) ((2.34915e-13 -2.63819e-12 1.43442e-16) (-3.48018e-13 1.49917e-12 -1.24023e-10)))
86	(((2.15992e-07 2.39694e-09 4.54714e-16) (1.66013e-07 -5.9462e-10 6.44317e-12)) ((2.22817e-13 -2.58729e-12 1.39907e-16) (-3.42907e-13 1.46495e-12 -1.2164e-10)))
87	(((2.15619e-07 2.44088e-09 4.61891e-16) (1.64139e-07 -5.85301e-10 6.8317e-12)) ((2.22081e-13 -2.60152e-12 1.38561e-16) (-3.27004e-13 1.43336e-12 -1.19395e-10)))
88	(((2.15265e-07 2.44662e-09 4.48788e-16) (1.62333e-07 -5.75538e-10 6.47209e-12)) ((3.26842e-13 -2.56744e-12 1.36451e-16) (-3.41906e-13 1.39964e-12 -1.17277e-10)))
89	(((2.14906e-07 2.42122e-09 4.58929e-16) (1.60593e-07 -5.65657e-10 6.59774e-12)) ((4.13391e-13 -2.57358e-12 1.34127e-16) (-3.80155e-13 1.3671e-12 -1.15274e-10)))
