# Time	forces(pressure, viscous) moment(pressure, viscous)
1.21809	(((-7.80545e-06 -8.28032e-10 0) (-2.47942e-06 7.18855e-09 1.52896e-09)) ((-5.15675e-11 8.5914e-12 3.4204e-10) (8.88918e-12 2.87786e-11 -1.17702e-10)))
1.23809	(((-7.48399e-06 -1.14328e-08 -1.45776e-09) (-2.22644e-06 -3.58495e-08 4.32479e-10)) ((1.49311e-10 -3.30043e-11 -1.27231e-10) (-1.13279e-10 -5.24021e-11 8.57273e-09)))
1.25809	(((-7.5127e-06 1.64814e-08 1.02307e-10) (-2.31143e-06 5.3665e-09 1.47956e-09)) ((1.8615e-10 4.37248e-11 4.52201e-10) (6.51385e-11 -1.60309e-10 -1.05379e-10)))
1.27809	(((-7.56634e-06 1.68326e-10 2.25621e-09) (-2.38768e-06 -1.01697e-08 1.2662e-09)) ((2.13654e-11 3.9683e-11 7.16419e-11) (-5.36308e-12 8.50895e-12 -1.13408e-09)))
1.29809	(((-7.60487e-06 -5.90729e-09 -3.30263e-10) (-2.29378e-06 4.44397e-08 1.14465e-10)) ((2.32986e-10 -5.43423e-11 -3.82199e-10) (-8.79079e-11 -2.1774e-11 5.31818e-09)))
1.31809	(((-7.66438e-06 -6.11074e-09 -9.45646e-10) (-2.24913e-06 -2.13353e-08 2.90555e-09)) ((1.76251e-10 -6.32168e-11 -3.11211e-10) (-2.12006e-11 -1.58936e-10 2.10392e-09)))
1.33809	(((-7.68591e-06 1.69997e-08 -6.71176e-11) (-2.27992e-06 -1.01628e-07 5.83247e-10)) ((3.42581e-10 -9.18256e-12 8.88859e-11) (4.91854e-12 4.38284e-11 2.42277e-09)))
1.35809	(((-8.07305e-06 5.29677e-09 -2.09823e-10) (-2.45718e-06 -1.01445e-08 5.57978e-10)) ((1.89278e-11 -5.00514e-11 2.31526e-10) (6.12511e-11 -1.33123e-10 1.19787e-09)))
1.37809	(((-8.00108e-06 8.51916e-09 -1.90859e-09) (-2.56837e-06 -6.42662e-08 -2.56302e-09)) ((-1.16575e-10 -8.11942e-11 -7.7346e-11) (4.10036e-10 -2.48955e-11 -5.04401e-09)))
1.39809	(((-8.02094e-06 8.22266e-09 0) (-2.35551e-06 -2.30989e-07 3.15022e-10)) ((1.69247e-10 1.21287e-14 1.05088e-10) (3.61368e-10 1.34582e-11 -4.38583e-10)))
1.41809	(((-7.94573e-06 5.78971e-09 -1.07644e-11) (-2.47602e-06 1.90397e-08 3.17255e-10)) ((-4.83424e-11 -1.4874e-12 8.59782e-11) (3.13136e-10 2.9367e-11 -2.44294e-09)))
1.43809	(((-7.89049e-06 4.27992e-09 -3.73087e-10) (-2.47265e-06 -2.01127e-08 3.35485e-09)) ((2.98847e-11 -4.82851e-11 2.76181e-10) (1.92077e-10 -1.67301e-10 6.47159e-10)))
1.45809	(((-7.82953e-06 -1.70145e-08 -1.37094e-09) (-2.27316e-06 3.07464e-08 -2.97775e-10)) ((1.38898e-10 -4.89137e-11 -9.72596e-10) (3.6295e-12 5.13608e-12 3.87144e-09)))
1.47809	(((-7.37119e-06 1.43507e-08 -8.38425e-10) (-2.35979e-06 -2.31223e-09 1.97223e-10)) ((-1.99602e-10 -3.97588e-11 5.723e-10) (-5.78402e-11 -1.29474e-12 -3.46247e-09)))
1.49809	(((-7.45621e-06 2.50417e-08 3.37116e-10) (-2.06496e-06 2.36535e-08 2.18019e-09)) ((2.54856e-10 9.57146e-12 4.85702e-10) (3.12922e-10 -1.3763e-10 1.15648e-09)))
1.51809	(((-7.4991e-06 1.22814e-08 3.15571e-10) (-2.23241e-06 2.18499e-08 4.18756e-09)) ((2.79785e-10 -1.26779e-12 4.3368e-10) (1.82115e-10 -7.14455e-11 -1.47827e-10)))
1.53809	(((-6.9061e-06 3.3832e-09 -9.87731e-10) (-2.58403e-06 -1.11794e-07 1.44565e-10)) ((2.27354e-10 1.60675e-11 2.32069e-10) (-1.17916e-10 -7.45264e-11 -6.76554e-09)))
1.55809	(((-7.60992e-06 -9.23452e-09 -8.84929e-10) (-2.19468e-06 -8.26028e-08 -8.73957e-10)) ((1.0462e-10 -7.89537e-11 -5.37399e-10) (-1.67649e-11 -8.30788e-11 1.77099e-09)))
1.57809	(((-7.65144e-06 -3.04754e-12 -5.48179e-10) (-2.16501e-06 -6.65534e-08 1.08217e-09)) ((1.66589e-10 -6.35426e-11 -3.14321e-10) (-9.43864e-11 -7.07858e-11 2.15318e-09)))
1.59809	(((-7.61974e-06 1.84296e-08 4.28261e-10) (-2.32425e-06 -7.91796e-08 1.24021e-09)) ((2.40653e-10 -7.93448e-12 4.91956e-10) (3.18719e-11 -5.08841e-11 2.42194e-09)))
1.61809	(((-8.05111e-06 -5.9401e-09 0) (-2.39873e-06 2.32005e-08 1.82015e-09)) ((5.00675e-12 -9.97088e-11 -1.88416e-10) (1.83646e-10 -3.3175e-11 3.28107e-09)))
1.63809	(((-7.99394e-06 -8.54065e-09 0) (-2.437e-06 2.71478e-08 1.4487e-09)) ((9.47299e-11 2.4216e-12 -1.61626e-10) (6.32867e-11 4.22482e-12 5.31488e-09)))
1.65809	(((-7.94975e-06 1.2537e-08 -1.46057e-09) (-2.35777e-06 -4.43656e-08 -5.88634e-10)) ((-8.99045e-11 -8.04328e-11 3.62517e-11) (2.32463e-10 -7.4099e-11 -1.58563e-09)))
1.67809	(((-7.87951e-06 2.20224e-08 -3.34498e-10) (-2.49593e-06 -1.46665e-07 1.615e-09)) ((9.7304e-11 -3.50151e-11 4.94994e-10) (1.31439e-10 -7.59822e-11 5.06515e-10)))
1.69809	(((-7.82642e-06 5.71814e-09 -3.57963e-10) (-2.45616e-06 -1.40249e-08 2.58026e-09)) ((2.86199e-11 -3.91042e-11 2.5411e-10) (1.67467e-10 -1.472e-10 7.19173e-11)))
1.71809	(((-7.72185e-06 -1.09385e-08 -1.47403e-09) (-2.39739e-06 8.37799e-08 1.15833e-09)) ((1.23186e-10 -4.40414e-11 -3.92515e-10) (4.92702e-11 -6.32178e-11 5.74305e-09)))
1.73809	(((-7.34586e-06 -3.00214e-08 -1.32091e-09) (-2.16487e-06 2.30116e-08 -4.09671e-11)) ((4.91652e-11 -4.69814e-11 -7.25674e-10) (-7.25623e-11 -7.51209e-11 6.26999e-09)))
1.75809	(((-7.42178e-06 2.09045e-08 2.09706e-09) (-2.33787e-06 -6.62271e-08 9.08918e-10)) ((6.79709e-11 5.12275e-11 3.8457e-10) (-1.82482e-11 -6.35188e-11 -7.89351e-10)))
