# Time	forces(pressure, viscous) moment(pressure, viscous)
102	(((2.32727e-07 2.66282e-10 4.12321e-16) (2.65693e-07 -7.8253e-10 2.17805e-12)) ((-1.14405e-12 -2.84798e-14 -2.60164e-16) (-2.48959e-12 1.05486e-12 -2.74173e-10)))
103	(((2.32268e-07 1.74707e-10 4.28537e-16) (2.62184e-07 -7.68859e-10 2.06374e-12)) ((-1.09463e-12 -2.30735e-15 -2.53956e-16) (-2.37872e-12 1.01633e-12 -2.68841e-10)))
104	(((2.3179e-07 1.57283e-10 4.6034e-16) (2.58764e-07 -7.54742e-10 1.95415e-12)) ((-1.19932e-12 -1.97108e-14 -2.43945e-16) (-2.29546e-12 9.81641e-13 -2.63649e-10)))
105	(((2.31325e-07 5.57612e-11 4.36791e-16) (2.5543e-07 -7.40538e-10 2.37775e-12)) ((-1.07571e-12 -1.32716e-14 -2.33796e-16) (-2.19116e-12 9.50844e-13 -2.58568e-10)))
106	(((2.30858e-07 3.63134e-11 4.4346e-16) (2.52179e-07 -7.27321e-10 2.09396e-12)) ((-1.31014e-12 4.52969e-14 -2.24637e-16) (-2.09195e-12 9.12448e-13 -2.53571e-10)))
107	(((2.30425e-07 -2.07635e-11 4.5533e-16) (2.49007e-07 -7.15219e-10 1.63579e-12)) ((-8.00423e-13 -1.00221e-15 -2.16118e-16) (-2.04618e-12 9.07509e-13 -2.48643e-10)))
108	(((2.29992e-07 -3.58854e-11 3.67623e-16) (2.45916e-07 -7.0267e-10 2.3736e-12)) ((-9.234e-13 5.73884e-14 -2.0841e-16) (-1.96043e-12 8.72642e-13 -2.43832e-10)))
109	(((2.29583e-07 -7.82362e-11 4.10386e-16) (2.42901e-07 -6.915e-10 1.11073e-12)) ((-7.52913e-13 -5.41119e-15 -2.00256e-16) (-1.88073e-12 8.70235e-13 -2.39055e-10)))
110	(((2.29178e-07 -6.38965e-11 3.70474e-16) (2.39961e-07 -6.80151e-10 1.63857e-12)) ((-8.6462e-13 3.63117e-15 -1.92942e-16) (-1.8298e-12 8.45358e-13 -2.3437e-10)))
111	(((2.28804e-07 -1.79808e-10 4.43434e-16) (2.37093e-07 -6.6877e-10 5.82255e-13)) ((-6.95316e-13 -1.28746e-13 -1.86277e-16) (-1.79756e-12 8.5202e-13 -2.29771e-10)))
112	(((2.28403e-07 -2.09067e-10 3.86128e-16) (2.34296e-07 -6.57736e-10 1.12421e-12)) ((-1.11372e-12 -1.17607e-13 -1.78926e-16) (-1.71759e-12 8.26427e-13 -2.25273e-10)))
113	(((2.28006e-07 -2.57549e-10 3.93609e-16) (2.31567e-07 -6.47436e-10 9.8689e-13)) ((-5.66643e-13 -7.09612e-14 -1.72263e-16) (-1.74728e-12 7.94608e-13 -2.2082e-10)))
114	(((2.27603e-07 -2.68089e-10 3.6013e-16) (2.28908e-07 -6.36352e-10 1.808e-12)) ((-9.48251e-13 -7.19213e-14 -1.66638e-16) (-1.66345e-12 7.5339e-13 -2.1649e-10)))
115	(((2.27226e-07 -2.57031e-10 3.24063e-16) (2.26312e-07 -6.25898e-10 1.94823e-12)) ((-4.6605e-13 1.20724e-14 -1.58889e-16) (-1.68679e-12 7.21615e-13 -2.12219e-10)))
116	(((2.26882e-07 -2.89844e-10 3.26594e-16) (2.23781e-07 -6.15781e-10 2.59438e-12)) ((-7.20163e-13 1.43341e-14 -1.53087e-16) (-1.59225e-12 6.68218e-13 -2.08031e-10)))
117	(((2.26533e-07 -3.67423e-10 3.28228e-16) (2.21311e-07 -6.06066e-10 2.42789e-12)) ((-3.03217e-13 1.76951e-15 -1.45523e-16) (-1.61363e-12 6.54445e-13 -2.03906e-10)))
